X,Y,Name,Upvotes
-118.32153707867084,34.134296619734975,Hollywood Sign,7727
-118.2673254323707,34.043288655964155,Staples Center,3492
-118.24986111598386,34.05543099888929,Walt Disney Concert Hall,3075
-118.46760426120832,33.98352609637416,Venice Canals Walkway,2051
-118.32688125831685,34.1019100140069,Hollywood Walk of Fame,17823
-118.35351391148068,34.13839282312467,The Wizard World of Harry Potter,1581
-118.23927165806542,34.07400204976415,Dodger Stadium,2116
-118.34107849188726,34.10220075117202,TCL Chinese Theatres,3514
-118.35351762682258,34.13625847632381,Universal CityWalk Hollywood,1847
-118.23647923057815,34.05657022637577,Union Station,1846
-118.23793843237009,34.057736167348494,Olvera Street,1365
-118.2396004564591,34.052318869710234,Little Tokyo,862
-118.4768430887523,33.991041015357105,Venice Beach Boardwalk,2987
-118.35831735252164,34.06406559166903,Los Angeles County Museum of Art,2828
-118.29962102738016,34.118567305842845,Griffith Observatory,20626
-118.2942293743291,34.13685054135837,Griffith Park,3205
-118.4741061323692,34.07821350153259,The Getty,14730
-118.49881578696932,34.00858539387284,Santa Monica Pier,19281
-118.35644310489512,34.06401544814771,La Brea Tar Pits and Museum,3255
